ItemTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ParentItem,ParentTable,SecondTable,ReqLevel,Skill,CraftTime,Weight,RepairType,MaxUses,NoDefault,ParentRecipe,TagRecipe,Ingredients,StaticIngredients,Products,Fuel,Yield,PluralName,Description,BlockChunks,RequireModule,FriendlyName,Category,Tags,CraftExperience,Labor,BackingCurrency,EcopediaCategory,EcopediaPage,,,,,,,,,,,,,,,,
AdvancedCircuit,,ElectronicsAssembly,,2,Electronics,0.8,1000,,,,,,"CopperWiring,4;GoldWiring,4;GoldFlakes,10;Substrate,2",,,,,,A complex electrical component used in advanced electronics.,,,,Material,,4,85,,Items,Products,,,,,,,,,,,,,,,,
AdvancedCombustionEngine,,RoboticAssemblyLine,,1,Industry,4,1000,,,,,,"SteelPlate,16;Rivet,12;Piston,6;Valve,6;Servo,6;AdvancedCircuit,6;Radiator,3",,,,,,A more advanced version of the normal combustion engine that produces a greater output.,,,,Material,,20,600,,Items,Products,,,,,,,,,,,,,,,,
AgoutiCarcass,,,,,,,2000,,,,,,,,,,,,A dead agouti.,,,,Animal,"TinyFurCarcass,1;TinyCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
AgricultureResearchPaperAdvanced,,ResearchTable,,0,Farming,,10,,,,,"Raw Food,40;Crop Seed,20","Dirt,5",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Advanced Research,1;Research,1",3,240,,Items,Research Papers,,,,,,,,,,,,,,,,
AgricultureResearchPaperModern,,ResearchTable,,0,Farming,,10,,,,,"Raw Food,200","BerryExtractFertilizer,5;BloodMealFertilizer,5;HideAshFertilizer,5;PeltFertilizer,5",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Modern Research,1;Research,1",6,600,,Items,Research Papers,,,,,,,,,,,,,,,,
AlligatorCarcass,,,,,,,2000,,,,,,,,,,,,A dead alligator.,,,,Animal,"MediumCarcass,1;MediumLeatherCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
Arrow,,ToolBench,,,,0.1,10,,,,,"Wood,1",,,,500,4,,Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,,,,Tool,"Burnable Fuel,1",,30,,Items,Tools,,,,,,,,,,,,,,,,
BasicCircuit,,ElectronicsAssembly,,1,Electronics,0.8,1000,,,,,,"CopperWiring,6;GoldFlakes,10;Substrate,2",,,,,,A complex electrical component used in advanced electronics.,,,,Material,,4,45,,Items,Products,,,,,,,,,,,,,,,,
Bass,,,,,,,800,,,,,,,,,,,,A bass. ,,,,Animal,"Fish,1;MediumFish,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
BeaverCarcass,,,,,,,1000,,,,,,,,,,,,A dead beaver.,,,,Animal,,,,,,,,,,,,,,,,,,,,,,
BighornCarcass,,,,,,,3500,,,,,,,,,,,,A dead bighorn.,,,,Animal,"MediumCarcass,1;MediumWoolyCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
BisonCarcass,,,,,,,5500,,,,,,,,,,,,A dead bison.,,,,Animal,,,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
BlueShark,,,,,,,2000,,,,,,,,,,,,A blue shark.,,,,Animal,"Fish,1;LargeFish,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
Board,,CarpentryTable,,1,Carpentry,0.2,500,,,,,"HewnLog,1",,,,2000,,,A higher quality board used for long lasting furniture.,,,,Material,"WoodBoard,1;Burnable Fuel,1",0.6,25,x,Items,Products,,,,,,,,,,,,,,,,
Boiler,,MachinistTable,,1,Mechanics,2,500,,,,,,"IronPlate,15;Screws,10;CopperPlate,4",,,,,,A vessel used for heating fluids.,,Shaper,,Material,,3,180,,Items,Products,,,,,,,,,,,,,,,,
Camera,Tool,,,,,,,,,,,,,,,,,,,,,,Tool,,,,,,,,,,,,,,,,,,,,,,
CelluloseFiber,,TailoringTable,,1,Tailoring,1,100,,,,,"NaturalFiber,20",,,,,,,Created by taking pulped plants and extruding them similarly to synthetic fibers.,,,,Material,,0.5,60,,Items,Products,,,,,,,,,,,,,,,,
Cement,,CementKiln,,4,Masonry,1.6,10000,,,,,,"CrushedLimestone,3;Clay,1",,,,2,Cement,In order to be usable it needs to be reinforced.,,,,Material,,1,70,,Items,Products,,,,,,,,,,,,,,,,
Charcoal,,Kiln,,4,Logging,1,1000,,,,,"Wood,7",,,,20000,,,"A black residue, consisting of carbon and any remaining ash.",,,,Fuel,"Coal,1;Burnable Fuel,1",1,25,,Items,Products,,,,,,,,,,,,,,,,
Clam,,,,,,,100,,,,,,,,,,,,A clam.,,,,Animal,"Marine Life,1",,,x,Natural Resources,Animal,,,,,,,,,,,,,,,,
Cloth,,TailoringTable,,1,Tailoring,1,100,,,,,,"PlantFibers,9",,,,,Cloth,A piece of rough cloth made by weaving fibers together.,,,,Material,"Fabric,1",0.5,60,,Items,Products,,,,,,,,,,,,,,,,
CO2Canister,,Laboratory,,1,CuttingEdgeCooking,8,100,,,,,,"SteelBar,2",,,,,,For creating fancy foams!,,,CO2 Canister,,,1,15,,Items,Products,,,,,,,,,,,,,,,,
Cod,,,,,,,1000,,,,,,,,,,,,A cod.,,,,Animal,"Fish,1;MediumFish,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
CombustionEngine,,ElectricMachinistTable,,3,Mechanics,8,5000,,,,,,"Piston,6;Gearbox,4;IronPlate,12;Rivet,8",,,,,,An engine that generates power by combustion of fuel.,,,,Material,,15,300,,Items,Products,,,,,,,,,,,,,,,,
CopperPlate,,ScrewPress,,1,Mechanics,2,500,,,,,,"CopperBar,1",,,,,,A solid copper plate giving higher grades of protection against erosion and improves conductivity.,,MachinistTable,,Material,,1,60,x,Items,Products,,,,,,,,,,,,,,,,
CopperWiring,,MachinistTable,,1,Mechanics,0.4,200,,,,,,"CopperBar,4",,,,2,CopperWiring,A length of copper conductive wire useful for a variety of purposes.,,,,Material,,1,60,,Items,Products,,,,,,,,,,,,,,,,
CottonBoll,,,,,,,10,,,,,,,,,,,,A fluffy round boll harvested from a cotton plant. The seeds must be separated from their protective case before the cotton fiber can be spun into thread.,,,,Material,"Crop,1",,,,Items,Products,,,,,,,,,,,,,,,,
CottonFabric,,Loom,,1,Tailoring,1,100,,,,,,"CottonThread,4",,,,,CottonFabric,"Cotton fabric is valued for its light weight, breathability, and softness.",,,,Material,"Fabric,1",0.5,60,x,Items,Products,,,,,,,,,,,,,,,,
CottonLint,,FarmersTable,,1,Farming,1,100,,,,,,"CottonBoll,4",,"CottonSeed,0.5",,,CottonLint,A bundle of cotton used as stuffing or further tailoring processing.,,,,Material,,0.1,80,,Items,Products,,,,,,,,,,,,,,,,
CottonThread,,TailoringTable,,1,Tailoring,1,20,,,,,,"CottonLint,1",,,,2,CottonThread,Cotton fiber that has been processed at a cotton gin and is ready to be used for textiles.,,,,Material,,0.1,30,,Items,Products,,,,,,,,,,,,,,,,
CoyoteCarcass,,,,,,,2000,,,,,,,,,,,,A dead coyote.,,,,Animal,"SmallCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
CrabCarcass,,,,,,,2000,,,,,,,,,,,,"A crustacean that loves the ocean, just don't get caught in its pinch!",,,,Animal,"SmallFish,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
CulinaryResearchPaperAdvanced,,ResearchTable,,1,Baking,,10,,,,,"BakedVegetable,16;Salad,10",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Advanced Research,1;Research,1",3,120,,Items,Research Papers,,,,,,,,,,,,,,,,
CulinaryResearchPaperBasic,,ResearchTable,,1,CampfireCooking,,10,,,,,"FriedVegetable,3;CampfireSalad,5",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Basic Research,1;Research,1",1.5,30,,Items,Research Papers,,,,,,,,,,,,,,,,
CulinaryResearchPaperModern,,ResearchTable,,2,AdvancedCooking,,10,,,,,,"BoiledSausage,10;Bread,10",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Modern Research,1;Research,1",6,600,,Items,Research Papers,,,,,,,,,,,,,,,,
DeerCarcass,,,,,,,3000,,,,,,,,,,,,A dead deer.,,,,Animal,"MediumCarcass,1;MediumLeatherCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
DendrologyResearchPaperAdvanced,,ResearchTable,,0,Carpentry,,10,,,,,"HewnLog,20",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Advanced Research,1;Research,1",3,120,,Items,Research Papers,,,,,,,,,,,,,,,,
DendrologyResearchPaperBasic,,ResearchTable,,0,Logging,,10,,,,,"Wood,20",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Basic Research,1;Research,1",1.5,30,,Items,Research Papers,,,,,,,,,,,,,,,,
